FrameLayout		拍照搜索	[0,0][1440,3168]
TextView	淋浴花洒花洒喷头	搜索	[501,214][949,280]
ImageView		拍照搜索	[1279,209][1440,286]
TextView	推荐		[49,361][169,442]
ImageView		最快明天达	[239,361][571,441]
TextView	政府补贴		[641,363][865,439]
TextView	手机		[935,363][1047,439]
TextView	百货		[1117,363][1229,439]
TextView	运动		[1299,363][1411,439]
FrameLayout		快捷入口列表	[0,473][1440,963]
ImageView		充值中心	[75,508][212,645]
TextView	充值中心		[54,656][234,714]
ImageView		限时秒杀	[363,508][500,645]
TextView	限时秒杀		[342,656][522,714]
ImageView		免费领礼物	[651,508][788,645]
TextView	免费领礼物		[607,656][832,714]
ImageView		多多果园	[939,508][1076,645]
TextView	多多果园		[918,656][1098,714]
ImageView		潮流好价	[1227,508][1364,645]
TextView	潮流好价		[1206,656][1386,714]
ImageView		9块9特卖	[75,753][212,890]
TextView	9块9特卖		[49,901][238,959]
ImageView		补贴多人团	[363,753][500,890]
TextView	补贴多人团		[319,901][544,959]
ImageView		超级满减	[651,753][788,890]
TextView	超级满减		[630,901][810,959]
ImageView		宝藏女装	[939,753][1076,890]
TextView	宝藏女装		[918,901][1098,959]
ImageView		现金大富翁	[1227,753][1364,890]
TextView	现金大富翁		[1183,901][1408,959]
TextView	百亿补贴		[46,1228][242,1285]
TextView	¥		[356,1312][380,1357]
TextView	9099		[387,1303][508,1360]
TextView	¥		[629,1312][653,1357]
TextView	2801.6		[660,1303][808,1360]
TextView	¥		[933,1312][957,1357]
TextView	3200		[964,1303][1081,1360]
TextView	¥		[1203,1312][1227,1357]
TextView	140.08		[1234,1303][1386,1360]
TextView	AUFIT空调	AUFIT空调奥克斯出品大3匹省电柜机一级变频冷暖家用wifi智控静音	[39,2129][683,2186]
TextView	补贴15%		[39,2207][255,2263]
TextView	已缴纳保证金		[269,2207][521,2263]
TextView	国补后		[39,2305][174,2358]
TextView	¥		[178,2306][204,2363]
TextView	2598.38		[208,2288][413,2368]
TextView	全店好评2889条		[424,2310][683,2357]
TextView	微星PRO MP	微星PRO MP341CQ E12 34英寸准4K120Hz 内置音箱 1500R曲面显示器	[757,2129][1401,2186]
TextView	送货上门		[757,2207][932,2263]
TextView	1246人收藏		[946,2207][1169,2263]
TextView	限购1件		[1183,2207][1353,2263]
TextView	券后		[757,2304][847,2357]
TextView	¥		[851,2305][877,2362]
TextView	1158		[881,2287][997,2367]
TextView	已抢81件		[1008,2294][1401,2360]
TextView	大疆 新品 DJI	大疆 新品 DJI Lito X1 新手入门航拍机4K高清全向避障前视无人机	[39,3138][683,3168]
TextView	徽渔桂黄山臭鲈	徽渔桂黄山臭鲈鱼正宗徽州腌鲜鲈鱼净膛真空半成品商用酒店批发	[757,3138][1401,3168]
RelativeLayout		首页	[0,2996][288,3168]
TextView	首页		[109,3113][179,3154]
RelativeLayout		多多视频	[288,2996][576,3168]
TextView	多多视频		[362,3113][502,3154]
RelativeLayout		中秋立减	[576,2996][864,3168]
TextView	中秋立减		[650,3113][790,3154]
RelativeLayout		聊天321	[864,2996][1152,3168]
TextView	99+		[1015,3010][1123,3073]
TextView	聊天		[973,3113][1043,3154]
RelativeLayout		个人中心0	[1152,2996][1440,3168]
TextView	个人中心		[1226,3113][1366,3154]
